User_ID,total_watch_minutes,sessions,avg_completion,unique_genres,weekend_share,mobile_share,revenue,Age,Country,Subscription_Type,Churn_Status,Viewer_Segment_ID,Viewer_Segment
U100000,248.89999999999998,4,0.7225,4,0.0,0.5,2.5319999999999996,31,Canada,Premium,Active,0,Genre Explorers
U100001,28.5,1,0.712,1,0.0,0.0,0.433,36,Germany,Standard,Active,2,At-Risk Low Engagement
U100002,883.4,12,0.68725,8,0.4166666666666667,0.5,7.595999999999998,25,Canada,Premium,Active,1,Global Bingers
U100004,153.4,3,0.8833333333333333,3,0.3333333333333333,0.3333333333333333,0.7990000000000002,41,South Korea,Basic,Active,4,Casual Browsers
U100005,605.5,11,0.7115454545454546,8,0.36363636363636365,0.5454545454545454,1.8296666666666668,40,Brazil,Mobile,Active,3,Premium Loyalists
U100006,243.6,4,0.59925,4,0.0,0.25,2.5319999999999996,32,Mexico,Premium,Churned,2,At-Risk Low Engagement
U100007,572.4,8,0.7325,6,0.75,0.625,5.063999999999999,47,France,Premium,Active,3,Premium Loyalists
U100008,262.0,3,0.6813333333333333,3,0.0,0.6666666666666666,0.7990000000000002,30,India,Basic,Active,0,Genre Explorers
U100009,97.6,3,0.464,3,0.6666666666666666,0.0,1.299,29,Canada,Standard,Active,4,Casual Browsers
U100010,11.2,1,0.267,1,0.0,0.0,0.433,51,Japan,Standard,Active,2,At-Risk Low Engagement
U100011,86.0,2,0.5845,2,1.0,0.5,0.33266666666666667,20,Canada,Mobile,Active,4,Casual Browsers
U100012,1523.9,20,0.7389,11,0.4,0.45,12.659999999999998,16,United States,Premium,Active,1,Global Bingers
U100013,631.1,8,0.82625,7,0.375,0.25,5.063999999999999,23,Australia,Premium,Active,3,Premium Loyalists
U100014,643.8,11,0.6232727272727273,7,0.18181818181818182,0.18181818181818182,4.763,38,India,Standard,Churned,3,Premium Loyalists
U100016,320.8,5,0.7412,3,0.2,0.4,2.165,26,Brazil,Standard,Active,2,At-Risk Low Engagement
U100017,484.29999999999995,7,0.6607142857142857,7,0.2857142857142857,0.42857142857142855,1.8643333333333336,55,India,Basic,Active,3,Premium Loyalists
U100018,271.9,5,0.6344000000000001,4,0.8,0.6,3.1649999999999996,34,South Korea,Premium,Active,4,Casual Browsers
U100019,43.6,1,0.255,1,0.0,1.0,0.6329999999999999,32,United Kingdom,Premium,Churned,0,Genre Explorers
U100020,488.0,8,0.790625,7,0.5,0.375,5.063999999999999,23,United States,Premium,Active,3,Premium Loyalists
U100021,21.5,1,0.581,1,0.0,0.0,0.433,57,South Korea,Standard,Active,2,At-Risk Low Engagement
U100023,243.8,3,0.7756666666666666,3,0.0,0.3333333333333333,0.499,18,United States,Mobile,Active,2,At-Risk Low Engagement
U100024,232.29999999999998,5,0.6986,5,0.2,0.2,3.1649999999999996,63,Japan,Premium,Churned,2,At-Risk Low Engagement
U100025,165.3,5,0.6746000000000001,5,0.6,0.6,1.3316666666666668,38,United Kingdom,Basic,Active,4,Casual Browsers
U100026,132.9,1,0.886,1,0.0,0.0,0.433,43,India,Standard,Churned,2,At-Risk Low Engagement
U100027,513.7,11,0.7077272727272728,6,0.0,0.2727272727272727,2.929666666666667,54,United States,Basic,Active,3,Premium Loyalists
U100029,237.3,5,0.6274,4,0.4,0.4,3.1649999999999996,45,Japan,Premium,Active,3,Premium Loyalists
U100030,355.0,6,0.6538333333333334,5,0.0,0.5,3.797999999999999,34,Brazil,Premium,Active,3,Premium Loyalists
U100031,51.7,1,0.957,1,0.0,0.0,0.16633333333333333,42,Mexico,Mobile,Churned,2,At-Risk Low Engagement
U100032,235.3,4,0.684,4,0.25,0.25,1.732,33,United Kingdom,Standard,Active,2,At-Risk Low Engagement
U100033,373.0,4,0.6435,3,0.25,0.5,1.732,33,France,Standard,Active,0,Genre Explorers
U100034,212.6,3,0.63,3,0.0,0.0,1.299,35,Brazil,Standard,Active,2,At-Risk Low Engagement
U100035,110.0,1,0.628,1,0.0,1.0,0.26633333333333337,29,South Korea,Basic,Active,0,Genre Explorers
U100036,416.90000000000003,6,0.7068333333333333,4,0.0,0.5,1.5980000000000003,40,Germany,Basic,Active,0,Genre Explorers
U100037,116.7,1,0.707,1,0.0,0.0,0.433,40,India,Standard,Active,2,At-Risk Low Engagement
U100038,228.8,3,0.755,3,0.3333333333333333,0.6666666666666666,0.7990000000000002,43,Brazil,Basic,Active,0,Genre Explorers
U100039,429.0,5,0.758,4,0.4,0.6,3.1649999999999996,41,South Korea,Premium,Active,3,Premium Loyalists
U100040,258.5,4,0.634,3,0.25,0.25,1.732,58,United States,Standard,Active,2,At-Risk Low Engagement
U100041,69.6,3,0.7166666666666668,3,0.3333333333333333,0.6666666666666666,1.8989999999999996,46,United States,Premium,Active,0,Genre Explorers
U100042,376.1,4,0.727,4,0.25,0.5,2.5319999999999996,31,South Korea,Premium,Active,0,Genre Explorers
U100043,260.8,5,0.6355999999999999,5,0.4,0.2,2.165,39,Canada,Standard,Active,2,At-Risk Low Engagement
U100044,670.4,8,0.719875,6,0.375,0.375,5.063999999999999,50,Germany,Premium,Active,3,Premium Loyalists
U100045,434.9,7,0.6752857142857144,6,0.14285714285714285,0.7142857142857143,4.430999999999999,22,Canada,Premium,Active,3,Premium Loyalists
U100046,574.5,8,0.65775,6,0.125,0.125,3.464,58,France,Standard,Active,3,Premium Loyalists
U100047,374.3,5,0.7362,4,0.0,0.0,2.165,24,Germany,Standard,Active,2,At-Risk Low Engagement
U100048,610.9,9,0.7234444444444444,6,0.5555555555555556,0.3333333333333333,5.696999999999999,44,South Korea,Premium,Active,3,Premium Loyalists
U100049,161.1,2,0.681,2,0.0,0.5,0.5326666666666667,34,India,Basic,Churned,0,Genre Explorers
U100050,73.7,1,0.546,1,0.0,0.0,0.26633333333333337,33,India,Basic,Active,2,At-Risk Low Engagement
U100051,213.0,3,0.8516666666666666,3,0.3333333333333333,0.3333333333333333,0.7990000000000002,18,Japan,Basic,Active,4,Casual Browsers
U100052,74.4,1,0.462,1,0.0,0.0,0.6329999999999999,44,Japan,Premium,Active,2,At-Risk Low Engagement
U100053,1359.9,25,0.7070399999999999,10,0.48,0.24,15.824999999999998,18,United States,Premium,Active,1,Global Bingers
U100054,1953.0,28,0.6773214285714285,12,0.2857142857142857,0.35714285714285715,17.723999999999997,16,Japan,Premium,Active,1,Global Bingers
U100055,571.1,7,0.7235714285714285,7,0.42857142857142855,0.14285714285714285,4.430999999999999,47,India,Premium,Active,3,Premium Loyalists
U100056,556.8,10,0.6222,8,0.1,0.4,4.33,55,Canada,Standard,Churned,3,Premium Loyalists
U100059,327.2,4,0.6735,4,0.25,0.25,1.0653333333333335,43,Spain,Basic,Active,2,At-Risk Low Engagement
U100060,96.4,2,0.6205,2,0.0,0.0,1.2659999999999998,32,Germany,Premium,Active,2,At-Risk Low Engagement
U100061,847.6,10,0.7628,6,0.2,0.2,4.33,50,Germany,Standard,Active,3,Premium Loyalists
U100062,924.3,13,0.7134615384615385,9,0.23076923076923078,0.38461538461538464,5.629,32,India,Standard,Active,1,Global Bingers
U100063,157.8,3,0.5066666666666667,3,0.6666666666666666,0.0,1.8989999999999996,40,India,Premium,Active,4,Casual Browsers
U100064,442.0,9,0.718,7,0.3333333333333333,0.3333333333333333,5.696999999999999,18,Mexico,Premium,Active,3,Premium Loyalists
U100065,112.4,2,0.631,2,0.0,0.0,0.866,19,France,Standard,Active,2,At-Risk Low Engagement
U100067,114.0,4,0.71275,4,0.25,0.75,1.732,40,Spain,Standard,Active,0,Genre Explorers
U100068,34.3,1,0.582,1,0.0,0.0,0.26633333333333337,32,India,Basic,Active,2,At-Risk Low Engagement
U100069,533.7,10,0.6793,7,0.1,0.1,4.33,56,Canada,Standard,Churned,3,Premium Loyalists
U100070,42.7,2,0.48950000000000005,2,0.0,0.5,0.5326666666666667,56,India,Basic,Churned,2,At-Risk Low Engagement
U100071,328.90000000000003,3,0.8079999999999999,2,0.6666666666666666,1.0,1.299,39,Japan,Standard,Active,0,Genre Explorers
U100072,267.7,5,0.6898,3,0.2,0.0,3.1649999999999996,16,Canada,Premium,Churned,2,At-Risk Low Engagement
U100073,39.5,2,0.6945,2,0.5,0.5,0.5326666666666667,32,South Korea,Basic,Active,4,Casual Browsers
U100075,480.8,7,0.7300000000000001,6,0.0,0.42857142857142855,3.031,35,France,Standard,Active,3,Premium Loyalists
U100076,253.7,4,0.80225,4,0.0,0.75,1.732,22,Germany,Standard,Active,0,Genre Explorers
U100077,941.4,11,0.75,6,0.18181818181818182,0.45454545454545453,6.962999999999999,19,Mexico,Premium,Active,1,Global Bingers
U100078,313.3,5,0.7462,4,0.6,0.2,2.165,16,Brazil,Standard,Churned,4,Casual Browsers
U100079,995.2,16,0.6366875,9,0.125,0.25,10.127999999999998,36,United Kingdom,Premium,Active,1,Global Bingers
U100080,259.0,3,0.9193333333333333,2,0.3333333333333333,0.0,1.8989999999999996,16,France,Premium,Churned,2,At-Risk Low Engagement
U100081,374.1,6,0.7280000000000001,4,0.5,0.6666666666666666,2.598,30,Australia,Standard,Churned,3,Premium Loyalists
U100082,702.7,9,0.7238888888888888,6,0.5555555555555556,0.3333333333333333,5.696999999999999,42,India,Premium,Active,3,Premium Loyalists
U100083,90.6,2,0.46950000000000003,2,0.5,0.0,0.5326666666666667,25,Brazil,Basic,Active,2,At-Risk Low Engagement
U100084,141.7,4,0.60075,2,0.5,0.75,1.0653333333333335,20,India,Basic,Active,0,Genre Explorers
U100085,766.1,9,0.8112222222222223,7,0.0,0.4444444444444444,2.3970000000000002,33,France,Basic,Active,3,Premium Loyalists
U100086,205.60000000000002,6,0.6033333333333334,6,0.16666666666666666,0.3333333333333333,3.797999999999999,24,Brazil,Premium,Active,3,Premium Loyalists
U100087,168.2,3,0.5796666666666667,3,0.3333333333333333,0.6666666666666666,1.299,36,United States,Standard,Churned,0,Genre Explorers
U100088,322.3,5,0.6921999999999999,4,0.6,0.2,1.3316666666666668,21,India,Basic,Active,4,Casual Browsers
U100089,79.5,2,0.8145,2,0.0,0.5,0.866,32,United States,Standard,Active,0,Genre Explorers
U100090,840.6,10,0.7401,7,0.2,0.3,2.6633333333333336,29,United Kingdom,Basic,Active,3,Premium Loyalists
U100091,90.3,1,0.649,1,1.0,0.0,0.6329999999999999,33,Spain,Premium,Churned,4,Casual Browsers
U100092,697.7,10,0.6944,6,0.3,0.5,4.33,53,Spain,Standard,Active,3,Premium Loyalists
U100093,275.5,3,0.7396666666666668,3,0.3333333333333333,0.3333333333333333,1.299,36,Brazil,Standard,Churned,2,At-Risk Low Engagement
U100094,658.7,11,0.6765454545454546,7,0.18181818181818182,0.45454545454545453,4.763,40,Mexico,Standard,Active,3,Premium Loyalists
U100095,512.6,9,0.68,7,0.5555555555555556,0.3333333333333333,5.696999999999999,26,Australia,Premium,Active,3,Premium Loyalists
U100096,99.8,2,0.7070000000000001,2,0.5,1.0,0.866,36,Canada,Standard,Active,0,Genre Explorers
U100097,211.7,4,0.53325,4,0.25,0.25,1.0653333333333335,30,United States,Basic,Active,2,At-Risk Low Engagement
U100098,113.7,2,0.609,2,0.5,0.0,0.5326666666666667,34,Canada,Basic,Active,2,At-Risk Low Engagement
U100099,319.7,5,0.6468,5,0.4,0.6,0.8316666666666667,41,Spain,Mobile,Churned,0,Genre Explorers
U100100,189.0,5,0.619,5,0.2,0.2,0.8316666666666667,27,Australia,Mobile,Active,2,At-Risk Low Engagement
U100101,284.2,5,0.6562,5,0.6,0.4,3.1649999999999996,29,Germany,Premium,Active,4,Casual Browsers
U100102,136.1,3,0.5263333333333333,2,0.0,0.0,0.7990000000000002,28,India,Basic,Active,2,At-Risk Low Engagement
U100103,104.6,1,0.857,1,0.0,1.0,0.16633333333333333,27,United Kingdom,Mobile,Active,0,Genre Explorers
U100104,236.90000000000003,4,0.804,4,0.25,0.25,2.5319999999999996,36,South Korea,Premium,Active,2,At-Risk Low Engagement
U100105,245.2,5,0.5378000000000001,3,0.2,0.4,3.1649999999999996,29,India,Premium,Active,2,At-Risk Low Engagement
U100106,613.0,8,0.654375,5,0.25,0.375,3.464,51,United Kingdom,Standard,Active,3,Premium Loyalists
U100107,496.2,11,0.6768181818181819,9,0.36363636363636365,0.36363636363636365,2.929666666666667,66,Canada,Basic,Active,3,Premium Loyalists
U100108,265.0,3,0.6786666666666666,3,0.0,0.0,0.7990000000000002,27,France,Basic,Active,2,At-Risk Low Engagement
U100109,141.2,3,0.7223333333333333,3,0.0,0.3333333333333333,0.499,37,South Korea,Mobile,Active,2,At-Risk Low Engagement
U100112,64.80000000000001,2,0.815,2,0.5,1.0,0.866,22,South Korea,Standard,Active,0,Genre Explorers
U100113,238.39999999999998,5,0.665,5,0.2,0.4,2.165,54,Australia,Standard,Active,3,Premium Loyalists
U100114,701.4,9,0.7072222222222222,6,0.3333333333333333,0.2222222222222222,2.3970000000000002,42,Brazil,Basic,Active,3,Premium Loyalists
U100115,616.7,9,0.8018888888888889,6,0.1111111111111111,0.3333333333333333,5.696999999999999,37,France,Premium,Active,3,Premium Loyalists
U100116,657.1999999999999,9,0.7044444444444444,6,0.2222222222222222,0.4444444444444444,5.696999999999999,51,United States,Premium,Active,3,Premium Loyalists
U100117,1016.8,16,0.650875,10,0.125,0.5,10.127999999999998,43,Japan,Premium,Active,1,Global Bingers
U100118,222.5,4,0.6665,2,0.25,0.0,1.732,33,France,Standard,Active,2,At-Risk Low Engagement
