Content_ID,Title,Content_Type,Genre,Release_Year,IMDB_Rating,Duration,Language,Original_Flag,Release_Date
C200000,Crime Movie #0000,Movie,Crime,2010,6.5,132,Japanese,Licensed,2024-05-05
C200001,Romance Movie #0001,Movie,Romance,2003,7.7,120,Korean,Netflix Original,2023-09-12
C200002,Crime Movie #0002,Movie,Crime,2017,6.6,116,English,Licensed,2024-12-20
C200003,Anime Movie #0003,Movie,Anime,2016,6.3,141,French,Netflix Original,2024-03-12
C200004,Fantasy TV Show #0004,TV Show,Fantasy,2000,7.2,56,Korean,Licensed,2022-01-26
C200005,Thriller TV Show #0005,TV Show,Thriller,2018,6.2,55,English,Netflix Original,2022-12-13
C200006,Comedy TV Show #0006,TV Show,Comedy,2001,6.3,48,English,Licensed,2022-11-22
C200007,Kids Movie #0007,Movie,Kids,2025,8.7,139,Japanese,Licensed,2025-04-19
C200008,Horror Movie #0008,Movie,Horror,2015,8.4,115,English,Licensed,2023-05-20
C200009,Kids TV Show #0009,TV Show,Kids,2024,6.9,39,Hindi,Licensed,2024-08-19
C200010,Thriller TV Show #0010,TV Show,Thriller,2009,7.0,59,Portuguese,Licensed,2024-05-19
C200011,Sports TV Show #0011,TV Show,Sports,2002,7.8,38,Telugu,Netflix Original,2023-10-24
C200012,Comedy Movie #0012,Movie,Comedy,2023,9.7,89,Hindi,Netflix Original,2024-06-11
C200013,Crime Movie #0013,Movie,Crime,2014,7.6,92,French,Netflix Original,2024-07-11
C200014,Kids Movie #0014,Movie,Kids,1997,6.3,142,English,Licensed,2024-02-01
C200015,Horror Movie #0015,Movie,Horror,2006,6.5,104,English,Netflix Original,2024-07-26
C200016,Horror TV Show #0016,TV Show,Horror,1998,7.7,57,Japanese,Licensed,2022-10-02
C200017,Comedy TV Show #0017,TV Show,Comedy,2021,7.3,32,Tamil,Netflix Original,2025-10-18
C200018,Horror TV Show #0018,TV Show,Horror,2005,7.8,54,Hindi,Licensed,2023-02-03
C200019,Comedy TV Show #0019,TV Show,Comedy,2023,5.9,40,English,Netflix Original,2025-11-23
C200020,Horror Movie #0020,Movie,Horror,2013,8.3,132,Spanish,Netflix Original,2022-11-15
C200021,Romance TV Show #0021,TV Show,Romance,2012,7.0,25,Japanese,Licensed,2023-07-24
C200022,Thriller Movie #0022,Movie,Thriller,2021,7.3,113,Hindi,Licensed,2025-04-21
C200023,Thriller Movie #0023,Movie,Thriller,2001,6.7,98,English,Licensed,2023-07-09
C200024,Drama Movie #0024,Movie,Drama,2002,6.9,166,Portuguese,Netflix Original,2024-12-23
C200025,Fantasy Movie #0025,Movie,Fantasy,2026,6.1,90,French,Netflix Original,2025-12-22
C200026,Kids Movie #0026,Movie,Kids,2025,7.9,106,Portuguese,Licensed,2023-03-28
C200027,Horror Movie #0027,Movie,Horror,1999,7.0,176,French,Netflix Original,2024-02-04
C200028,Thriller Movie #0028,Movie,Thriller,2007,5.9,165,English,Licensed,2022-02-04
C200029,Reality Movie #0029,Movie,Reality,2017,6.6,176,English,Licensed,2022-03-04
C200030,Action Movie #0030,Movie,Action,2017,5.3,117,French,Netflix Original,2025-08-12
