User_ID,Age,Country,Subscription_Type,Signup_Date,Watch_Hours,Churn_Status
U100000,31,Canada,Premium,2024-04-28,39.57,Active
U100001,36,Germany,Standard,2025-06-21,22.66,Active
U100002,25,Canada,Premium,2022-04-23,113.81,Active
U100003,38,United States,Premium,2025-08-28,10.48,Active
U100004,41,South Korea,Basic,2022-12-04,19.05,Active
U100005,40,Brazil,Mobile,2025-05-10,87.21,Active
U100006,32,Mexico,Premium,2023-07-09,28.39,Churned
U100007,47,France,Premium,2024-06-15,86.94,Active
U100008,30,India,Basic,2023-05-04,29.85,Active
U100009,29,Canada,Standard,2025-05-15,20.83,Active
U100010,51,Japan,Standard,2024-11-25,14.76,Active
U100011,20,Canada,Mobile,2023-04-22,49.93,Active
U100012,16,United States,Premium,2022-07-14,144.62,Active
U100013,23,Australia,Premium,2025-10-21,119.72,Active
U100014,38,India,Standard,2025-11-22,73.05,Churned
U100015,49,France,Basic,2022-09-11,22.03,Churned
U100016,26,Brazil,Standard,2023-04-09,45.32,Active
U100017,55,India,Basic,2022-12-01,22.65,Active
U100018,34,South Korea,Premium,2022-11-28,19.7,Active
U100019,32,United Kingdom,Premium,2022-08-20,14.32,Churned
U100020,23,United States,Premium,2024-11-30,76.39,Active
U100021,57,South Korea,Standard,2025-02-08,26.9,Active
U100022,32,United States,Mobile,2024-06-04,3.64,Churned
U100023,18,United States,Mobile,2023-09-27,14.81,Active
U100024,63,Japan,Premium,2025-11-30,40.44,Churned
U100025,38,United Kingdom,Basic,2024-12-13,30.55,Active
U100026,43,India,Standard,2022-03-28,22.57,Churned
U100027,54,United States,Basic,2024-01-15,84.06,Active
U100028,41,Brazil,Basic,2022-09-06,23.55,Churned
U100029,45,Japan,Premium,2023-08-12,23.48,Active
U100030,34,Brazil,Premium,2023-07-30,61.04,Active
U100031,42,Mexico,Mobile,2025-08-01,22.35,Churned
U100032,33,United Kingdom,Standard,2025-04-12,31.28,Active
U100033,33,France,Standard,2023-09-23,28.2,Active
U100034,35,Brazil,Standard,2025-01-30,23.88,Active
U100035,29,South Korea,Basic,2024-06-21,17.4,Active
U100036,40,Germany,Basic,2024-03-19,20.86,Active
U100037,40,India,Standard,2025-06-07,22.3,Active
U100038,43,Brazil,Basic,2024-06-28,24.49,Active
U100039,41,South Korea,Premium,2022-11-07,29.4,Active
U100040,58,United States,Standard,2023-08-01,32.52,Active
U100041,46,United States,Premium,2023-08-11,57.54,Active
U100042,31,South Korea,Premium,2025-05-17,63.84,Active
U100043,39,Canada,Standard,2022-07-31,58.23,Active
U100044,50,Germany,Premium,2023-11-28,83.67,Active
U100045,22,Canada,Premium,2024-03-03,42.35,Active
U100046,58,France,Standard,2025-10-24,55.24,Active
U100047,24,Germany,Standard,2025-02-26,58.96,Active
U100048,44,South Korea,Premium,2023-01-17,64.8,Active
U100049,34,India,Basic,2022-03-22,12.19,Churned
U100050,33,India,Basic,2022-07-05,9.23,Active
U100051,18,Japan,Basic,2022-03-30,26.68,Active
U100052,44,Japan,Premium,2023-08-17,31.41,Active
U100053,18,United States,Premium,2024-12-18,206.16,Active
U100054,16,Japan,Premium,2024-08-17,233.58,Active
U100055,47,India,Premium,2024-11-02,49.81,Active
U100056,55,Canada,Standard,2024-02-14,58.81,Churned
U100057,25,United Kingdom,Standard,2023-08-11,5.53,Active
U100058,46,Japan,Basic,2025-04-18,6.08,Active
U100059,43,Spain,Basic,2023-06-11,33.19,Active
U100060,32,Germany,Premium,2024-05-02,32.8,Active
U100061,50,Germany,Standard,2023-02-16,69.31,Active
U100062,32,India,Standard,2023-06-18,54.23,Active
U100063,40,India,Premium,2022-04-01,8.82,Active
U100064,18,Mexico,Premium,2024-06-06,90.7,Active
U100065,19,France,Standard,2024-01-20,22.2,Active
U100066,48,Australia,Standard,2023-04-06,5.16,Churned
U100067,40,Spain,Standard,2024-06-18,39.62,Active
U100068,32,India,Basic,2022-07-10,7.89,Active
U100069,56,Canada,Standard,2025-06-17,71.16,Churned
U100070,56,India,Basic,2022-02-17,7.87,Churned
U100071,39,Japan,Standard,2024-03-02,18.56,Active
U100072,16,Canada,Premium,2023-01-26,45.19,Churned
U100073,32,South Korea,Basic,2022-08-10,8.54,Active
U100074,24,United States,Basic,2022-09-08,25.46,Active
U100075,35,France,Standard,2023-03-26,71.72,Active
U100076,22,Germany,Standard,2024-07-13,30.59,Active
U100077,19,Mexico,Premium,2025-02-20,81.38,Active
U100078,16,Brazil,Standard,2025-09-23,20.79,Churned
U100079,36,United Kingdom,Premium,2024-06-21,72.03,Active
U100080,16,France,Premium,2023-12-26,8.34,Churned
U100081,30,Australia,Standard,2025-01-30,31.39,Churned
U100082,42,India,Premium,2025-03-31,46.73,Active
U100083,25,Brazil,Basic,2023-08-27,27.83,Active
U100084,20,India,Basic,2023-09-02,21.61,Active
U100085,33,France,Basic,2022-04-09,85.08,Active
U100086,24,Brazil,Premium,2022-01-24,56.55,Active
U100087,36,United States,Standard,2025-07-26,26.55,Churned
U100088,21,India,Basic,2025-06-18,40.71,Active
U100089,32,United States,Standard,2023-05-25,11.82,Active
U100090,29,United Kingdom,Basic,2025-10-09,94.87,Active
U100091,33,Spain,Premium,2022-05-02,24.71,Churned
U100092,53,Spain,Standard,2025-10-30,74.45,Active
U100093,36,Brazil,Standard,2024-05-06,14.76,Churned
U100094,40,Mexico,Standard,2024-02-02,76.63,Active
U100095,26,Australia,Premium,2024-12-22,35.18,Active
U100096,36,Canada,Standard,2022-11-29,22.06,Active
U100097,30,United States,Basic,2023-11-29,12.14,Active
U100098,34,Canada,Basic,2022-12-02,15.88,Active
U100099,41,Spain,Mobile,2024-06-15,21.58,Churned
U100100,27,Australia,Mobile,2023-08-31,19.1,Active
U100101,29,Germany,Premium,2023-09-02,35.98,Active
U100102,28,India,Basic,2024-12-25,18.32,Active
U100103,27,United Kingdom,Mobile,2025-04-02,10.86,Active
U100104,36,South Korea,Premium,2025-06-07,42.78,Active
U100105,29,India,Premium,2025-02-18,25.95,Active
U100106,51,United Kingdom,Standard,2022-09-18,79.26,Active
U100107,66,Canada,Basic,2024-11-17,85.28,Active
U100108,27,France,Basic,2024-10-31,41.76,Active
U100109,37,South Korea,Mobile,2022-01-30,44.43,Active
U100110,46,Japan,Standard,2022-10-10,31.57,Active
U100111,30,United States,Basic,2024-01-24,9.81,Active
U100112,22,South Korea,Standard,2023-03-21,19.94,Active
U100113,54,Australia,Standard,2025-02-20,23.86,Active
U100114,42,Brazil,Basic,2025-01-26,35.85,Active
U100115,37,France,Premium,2022-12-24,65.24,Active
U100116,51,United States,Premium,2022-01-27,47.23,Active
U100117,43,Japan,Premium,2023-01-14,54.43,Active
U100118,33,France,Standard,2025-08-11,35.62,Active
U100119,22,France,Premium,2025-08-13,64.11,Active
U100120,28,Brazil,Standard,2024-01-07,42.25,Active
U100121,48,Brazil,Premium,2025-05-13,56.05,Active
U100122,42,Mexico,Basic,2024-04-06,61.43,Active
U100123,31,Brazil,Standard,2025-12-13,115.05,Active
U100124,55,India,Basic,2022-08-13,18.96,Active
U100125,32,Brazil,Standard,2023-12-28,140.7,Active
U100126,45,Japan,Standard,2022-09-22,63.26,Active
U100127,36,Canada,Basic,2022-07-01,37.73,Active
U100128,57,India,Basic,2022-08-14,51.65,Active
U100129,43,Japan,Standard,2022-01-13,5.78,Active
U100130,34,Japan,Basic,2025-10-10,46.97,Active
U100131,31,South Korea,Mobile,2024-10-27,24.14,Churned
U100132,33,United States,Standard,2023-12-29,79.2,Active
U100133,25,Canada,Standard,2025-04-07,63.55,Active
U100134,17,Australia,Standard,2024-04-07,100.1,Active
U100135,37,India,Basic,2023-09-18,12.78,Churned
U100136,27,Canada,Mobile,2023-12-09,42.65,Active
U100137,27,Japan,Standard,2023-09-14,22.72,Churned
U100138,32,Brazil,Premium,2023-08-15,61.8,Active
U100139,34,Canada,Basic,2025-05-11,31.45,Active
U100140,34,India,Standard,2025-11-18,11.31,Active
U100141,54,United Kingdom,Standard,2022-09-29,26.42,Churned
U100142,41,France,Mobile,2024-12-11,15.17,Active
U100143,59,India,Standard,2022-04-03,70.98,Active
U100144,28,Mexico,Standard,2025-03-07,50.2,Active
U100145,43,Japan,Basic,2025-11-10,32.29,Churned
U100146,29,India,Standard,2024-11-22,40.82,Active
U100147,27,India,Standard,2024-03-02,105.81,Active
U100148,59,India,Standard,2025-10-18,30.11,Active
U100149,24,Canada,Basic,2025-02-01,26.05,Active
U100150,16,United States,Premium,2025-02-22,28.28,Active
U100151,25,Germany,Mobile,2025-10-25,46.83,Active
U100152,16,France,Basic,2024-03-02,23.52,Active
U100153,22,Mexico,Standard,2025-03-29,25.6,Active
U100154,23,France,Basic,2025-08-06,29.01,Churned
U100155,34,Germany,Premium,2023-11-14,62.26,Active
U100156,16,India,Standard,2024-11-29,40.11,Active
U100157,48,United Kingdom,Premium,2024-08-04,73.52,Active
U100158,16,United States,Premium,2025-12-16,16.21,Active
U100159,32,Spain,Premium,2024-07-12,22.46,Active
U100160,30,Australia,Basic,2024-11-22,34.41,Churned
U100161,43,United States,Mobile,2025-09-13,36.36,Active
U100162,38,United Kingdom,Basic,2022-01-16,39.53,Churned
U100163,48,United States,Basic,2022-07-25,18.31,Active
U100164,29,United Kingdom,Standard,2023-04-25,69.15,Active
U100165,28,India,Standard,2024-10-12,21.27,Active
U100166,38,Australia,Premium,2023-10-03,59.97,Active
U100167,46,Germany,Premium,2025-06-13,70.08,Active
U100168,43,Japan,Standard,2022-04-24,16.62,Churned
U100169,37,United States,Mobile,2023-06-09,12.06,Active
U100170,36,Brazil,Standard,2022-08-03,51.28,Active
U100171,33,Brazil,Standard,2024-10-31,34.26,Active
U100172,38,India,Basic,2023-01-30,40.58,Churned
U100173,58,India,Mobile,2022-12-31,19.86,Active
U100174,31,Japan,Basic,2024-06-08,73.79,Active
U100175,29,Japan,Basic,2022-05-09,32.91,Active
U100176,28,South Korea,Standard,2025-09-17,15.39,Active
U100177,38,France,Mobile,2022-02-07,25.02,Active
U100178,16,Spain,Mobile,2023-05-17,19.57,Churned
U100179,32,Australia,Premium,2024-02-13,49.24,Active
U100180,44,India,Mobile,2022-01-14,45.64,Active
U100181,27,United States,Mobile,2022-03-17,12.12,Churned
U100182,36,Canada,Standard,2025-12-02,38.01,Active
U100183,59,Mexico,Standard,2024-05-14,4.93,Churned
U100184,37,Mexico,Premium,2022-02-15,46.02,Active
U100185,16,South Korea,Premium,2023-07-03,36.06,Active
U100186,17,France,Standard,2023-05-01,57.43,Active
U100187,30,India,Basic,2022-01-11,19.01,Active
U100188,24,United Kingdom,Premium,2024-04-13,62.07,Active
U100189,35,India,Basic,2022-11-27,35.65,Active
U100190,30,United States,Mobile,2024-08-03,27.59,Active
U100191,47,Canada,Basic,2024-12-14,75.46,Active
U100192,20,United States,Basic,2023-09-02,99.56,Active
U100193,31,Canada,Premium,2023-07-08,88.71,Active
U100194,36,Canada,Basic,2024-07-18,7.22,Active
U100195,38,France,Basic,2024-11-25,22.9,Active
U100196,35,Spain,Standard,2023-08-01,7.63,Active
U100197,16,Canada,Mobile,2025-04-04,10.71,Churned
U100198,34,South Korea,Basic,2023-02-23,66.35,Active
U100199,32,Australia,Standard,2025-03-09,114.63,Active
U100200,44,United States,Premium,2023-06-26,98.71,Active
U100201,42,Canada,Mobile,2024-09-06,25.41,Churned
U100202,36,Mexico,Standard,2025-12-27,13.44,Active
U100203,37,Brazil,Basic,2024-12-26,29.93,Active
U100204,50,India,Basic,2023-04-11,44.93,Active
U100205,47,United States,Basic,2024-04-11,101.1,Active
U100206,37,India,Basic,2022-10-21,59.71,Active
U100207,59,Japan,Premium,2023-11-10,27.69,Active
U100208,26,Australia,Basic,2024-06-22,15.38,Churned
U100209,19,India,Standard,2022-04-01,28.82,Active
U100210,33,Brazil,Premium,2023-08-07,58.62,Active
U100211,29,South Korea,Standard,2025-11-24,22.2,Active
U100212,16,Mexico,Basic,2025-12-24,30.85,Active
U100213,26,United States,Premium,2025-05-11,58.15,Active
U100214,38,Germany,Premium,2024-11-10,65.27,Active
U100215,33,India,Premium,2024-09-08,38.23,Active
U100216,24,United Kingdom,Basic,2024-02-15,30.32,Active
U100217,34,United Kingdom,Basic,2024-07-29,44.46,Active
U100218,35,India,Mobile,2022-12-16,31.26,Churned
U100219,42,India,Standard,2024-04-22,73.56,Active
U100220,26,United Kingdom,Standard,2024-03-23,17.76,Active
U100221,44,India,Standard,2022-05-18,127.62,Active
U100222,20,Mexico,Premium,2023-02-16,93.08,Active
U100223,27,Spain,Mobile,2023-04-12,68.76,Active
U100224,54,France,Standard,2024-09-27,26.55,Active
U100225,21,India,Mobile,2023-05-11,1.55,Churned
U100226,26,United Kingdom,Basic,2022-11-08,6.69,Active
U100227,18,Brazil,Standard,2025-03-04,158.9,Active
U100228,24,United States,Premium,2024-01-10,109.02,Active
U100229,35,Australia,Basic,2024-06-02,29.81,Churned
U100230,42,South Korea,Basic,2023-05-12,13.11,Churned
U100231,33,United States,Standard,2023-08-05,58.63,Active
U100232,30,India,Mobile,2024-04-24,23.3,Active
U100233,19,Japan,Standard,2023-04-25,60.97,Active
U100234,25,France,Mobile,2025-10-24,10.84,Active
U100235,16,Japan,Premium,2025-05-31,57.33,Active
U100236,42,United States,Standard,2025-11-11,63.28,Active
U100237,43,Germany,Premium,2025-02-21,168.91,Active
U100238,33,Germany,Basic,2022-05-06,40.83,Active
U100239,39,Australia,Basic,2025-04-02,20.51,Churned
U100240,44,Brazil,Premium,2022-12-26,3.56,Churned
U100241,35,Canada,Premium,2023-08-01,40.34,Active
U100242,50,United States,Basic,2023-09-04,37.02,Active
U100243,21,India,Standard,2023-12-01,55.19,Active
U100244,29,Canada,Premium,2025-03-15,140.51,Active
U100245,28,Spain,Mobile,2024-04-16,37.71,Churned
U100246,41,Spain,Premium,2024-02-19,105.45,Active
U100247,16,Canada,Standard,2022-10-08,68.01,Active
U100248,51,South Korea,Standard,2025-03-13,30.32,Active
U100249,40,United Kingdom,Standard,2023-06-13,45.82,Active
U100250,55,Mexico,Premium,2024-08-31,112.83,Active
U100251,33,Brazil,Mobile,2023-12-19,13.63,Active
U100252,27,Canada,Standard,2024-08-10,49.34,Active
U100253,41,Germany,Basic,2024-09-05,10.68,Churned
U100254,46,France,Basic,2024-03-21,21.27,Active
U100255,25,South Korea,Premium,2023-10-19,117.35,Active
U100256,16,United States,Premium,2024-11-07,22.65,Churned
U100257,16,Mexico,Basic,2022-08-14,17.24,Active
U100258,37,India,Basic,2025-11-19,32.39,Active
U100259,52,United States,Standard,2023-09-13,61.12,Active
U100260,18,United Kingdom,Basic,2025-12-04,8.04,Active
U100261,30,United Kingdom,Premium,2024-02-15,157.05,Active
U100262,29,Australia,Standard,2022-07-09,34.81,Active
U100263,57,Brazil,Basic,2024-08-08,50.72,Active
U100264,61,France,Mobile,2024-01-27,13.8,Churned
U100265,39,United States,Basic,2025-05-31,50.5,Active
U100266,44,United Kingdom,Standard,2025-05-05,37.91,Active
U100267,44,Canada,Basic,2022-12-06,40.4,Active
U100268,18,United States,Basic,2025-01-25,59.72,Active
U100269,42,India,Basic,2024-03-28,53.34,Active
U100270,21,India,Basic,2023-10-31,15.35,Active
U100271,31,United States,Basic,2023-09-02,18.43,Churned
U100272,47,Japan,Basic,2024-09-15,51.61,Active
U100273,34,India,Standard,2024-09-29,26.72,Churned
U100274,47,South Korea,Premium,2025-07-03,55.58,Active
U100275,49,Canada,Standard,2025-06-30,43.46,Active
U100276,16,Canada,Standard,2022-12-22,85.03,Active
U100277,16,Japan,Standard,2023-11-28,20.52,Churned
U100278,47,Brazil,Mobile,2025-12-16,30.74,Active
U100279,48,Spain,Premium,2025-05-17,41.14,Active
U100280,37,India,Basic,2023-10-18,16.46,Churned
U100281,38,Canada,Basic,2022-01-03,26.39,Active
U100282,44,United Kingdom,Basic,2022-12-02,16.95,Active
U100283,44,Australia,Basic,2025-08-24,47.88,Active
U100284,30,Japan,Standard,2024-10-27,47.71,Active
U100285,45,India,Standard,2025-02-25,22.79,Active
U100286,29,Australia,Basic,2025-02-05,8.26,Churned
U100287,36,India,Standard,2022-07-15,43.37,Churned
U100288,36,Australia,Standard,2024-05-04,36.57,Active
U100289,23,Germany,Basic,2024-09-12,29.76,Active
U100290,25,India,Premium,2022-05-20,117.09,Active
U100291,60,Japan,Basic,2024-01-21,40.23,Active
U100292,23,Germany,Mobile,2023-01-27,16.62,Churned
U100293,38,United States,Basic,2025-11-18,9.55,Active
U100294,40,Australia,Premium,2023-01-04,17.3,Active
U100295,33,India,Mobile,2023-03-21,23.85,Active
U100296,42,India,Mobile,2025-07-18,2.48,Churned
U100297,37,United States,Premium,2024-06-08,77.7,Active
U100298,23,France,Premium,2025-10-12,97.97,Active
U100299,40,India,Premium,2024-02-03,106.61,Active
U100300,27,Australia,Premium,2022-10-02,19.5,Active
U100301,54,Canada,Basic,2022-11-19,74.97,Churned
U100302,39,Japan,Standard,2022-09-02,40.54,Active
U100303,25,Brazil,Standard,2025-04-02,58.67,Active
U100304,38,United Kingdom,Premium,2022-02-05,70.85,Active
U100305,22,United States,Standard,2024-12-20,26.17,Churned
U100306,37,South Korea,Standard,2023-10-06,81.62,Active
U100307,31,Brazil,Premium,2024-03-05,150.45,Active
U100308,24,United States,Basic,2025-04-24,55.68,Active
U100309,23,United States,Basic,2025-10-10,56.48,Churned
U100310,63,India,Standard,2023-02-21,88.49,Active
U100311,35,India,Standard,2025-09-14,27.6,Active
U100312,28,Brazil,Basic,2025-08-22,13.74,Active
U100313,26,Spain,Standard,2025-04-09,0.0,Churned
U100314,39,Mexico,Standard,2022-07-01,35.56,Active
U100315,26,India,Standard,2022-08-11,32.86,Churned
U100316,20,Germany,Standard,2022-02-19,22.92,Churned
